label	category
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" Syntax
"
1	" None
"
1	" None
"
1	" Syntax
"
1	" Syntax
"
1	" None
"
1	" None
"
1	" Syntax
"
1	" None
"
1	" Syntax
"
1	" None
"
1	" Syntax
"
1	" None
"
1	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" Syntax
"
0	" Syntax
"
0	" Syntax 
"
1	" Syntax
"
1	" Syntax
"
1	" Syntax
"
1	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Morphology
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax, semantics
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax, semantics
"
0	" Syntax
"
1	" None
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
1	" None
"
0	" Syntax, semantics
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
1	" None
"
1	" None
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None 
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None 
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax 
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	"Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None 
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax, semantics
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Semantics
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax, semantics
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax, moprhology
"
1	" None
"
1	" None
"
1	" None
"
0	" Semantics
"
